Codigo;Descripcion;Clasificador;Periodo;Indice_IPC;v_m_IPC;v_i_a_IPC;Region;v_i_a_IPC_pond17
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202111;560,9184;2,5;51,2;Nacional;2,3
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202112;582,4575;3,8;50,9;Nacional;3,6
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202201;605,0317;3,9;50,7;Nacional;3,7
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202202;633,4341;4,7;52,3;Nacional;4,4
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202203;676,0566;6,7;55,1;Nacional;6,7
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202204;716,9399;6;58;Nacional;5,7
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202205;753,147;5,1;60,7;Nacional;4,9
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202206;793,0278;5,3;64;Nacional;5,1
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202207;851,761;7,4;71;Nacional;7,1
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202208;911,1316;7;78,5;Nacional;6,6
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202209;967,3076;6,2;83;Nacional;5,6
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202210;1028,706;6,3;88;Nacional;6,5
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202211;1079,2787;4,9;92,4;Nacional;5,3
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202212;1134,5875;5,1;94,8;Nacional;5
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202301;1202,979;6;98,8;Nacional;6,4
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202302;1282,7091;6,6;102,5;Nacional;6,4
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202303;1381,1601;7,7;104,3;Nacional;7,5
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202304;1497,2147;8,4;108,8;Nacional;7,8
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202305;1613,5895;7,8;114,2;Nacional;8,1
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202306;1709,6115;6;115,6;Nacional;6,4
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202307;1818,0838;6,3;113,4;Nacional;6,5
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202308;2044,2832;12,4;124,4;Nacional;11,6
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202309;2304,9242;12,7;138,3;Nacional;12
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202310;2496,273;8,3;142,7;Nacional;8,3
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202311;2816,0628;12,8;160,9;Nacional;12,1
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202312;3533,1922;25,5;211,4;Nacional;24,1
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202401;4261,5324;20,6;254,2;Nacional;20,7
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202402;4825,7881;13,2;276,2;Nacional;14,8
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202403;5357,0929;11;287,9;Nacional;12,3
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202404;5830,227;8,8;289,4;Nacional;11,5
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202405;6073,717;4,2;276,4;Nacional;4,2
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202406;6351,715;4,6;271,5;Nacional;5,4
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202407;6607,748;4;263,4;Nacional;4,1
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202408;6883,441;4,2;236,7;Nacional;4,4
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202409;7122,242;3,5;209;Nacional;3,7
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202410;7313,954;2,7;193;Nacional;2,8
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202411;7491,431;2,4;166;Nacional;2,6
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202412;7694,0075;2,7;117,8;Nacional;2,9
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202501;7864,1257;2,2;84,5;Nacional;2,2
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202502;8052,9927;2,4;66,9;Nacional;2,5
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202503;8353,3158;3,7;55,9;Nacional;3,7
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202504;8585,6078;2,8;47,3;Nacional;2,6
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202505;8714,4871;1,5;43,5;Nacional;1,6
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202506;8855,5681;1,6;39,4;Nacional;1,8
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202507;9023,973;1,9;36,6;Nacional;2
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202508;9193,2441;1,9;33,6;Nacional;2
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202509;9384,0922;2,1;31,8;Nacional;2,2
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202510;9603,8623;2,3;31,3;Nacional;2,4
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202511;9841,3581;2,5;31,4;Nacional;2,5
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202512;10121,3715;2,8;31,5;Nacional;2,9
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202601;10413,0309;2,9;32,4;Nacional;2,7
0;NIVEL GENERAL;Nivel general y divisiones COICOP;202602;10714,6255;2,9;33,1;Nacional;3
